50_50;ball_receipt_outcome;ball_recovery_recovery_failure;carry_end_location;clearance_aerial_won;counterpress;dribble_nutmeg;dribble_outcome;dribble_overrun;duel_outcome;duel_type;duration;foul_committed_advantage;foul_committed_card;foul_won_advantage;foul_won_defensive;goalkeeper_body_part;goalkeeper_end_location;goalkeeper_outcome;goalkeeper_position;goalkeeper_technique;goalkeeper_type;id;index;interception_outcome;location;match_id;minute;pass_aerial_won;pass_angle;pass_assisted_shot_id;pass_backheel;pass_body_part;pass_cross;pass_cut_back;pass_deflected;pass_end_location;pass_goal_assist;pass_height;pass_length;pass_outcome;pass_recipient;pass_recipient_id;pass_shot_assist;pass_switch;pass_type;period;play_pattern;player;player_id;position;possession;possession_team;possession_team_id;related_events;second;shot_aerial_won;shot_body_part;shot_end_location;shot_first_time;shot_freeze_frame;shot_key_pass_id;shot_one_on_one;shot_outcome;shot_statsbomb_xg;shot_technique;shot_type;substitution_outcome;substitution_outcome_id;substitution_replacement;substitution_replacement_id;tactics;team;team_id;timestamp;type;under_pressure;competition;season;block_offensive;foul_committed_offensive;foul_committed_type;injury_stoppage_in_chain;pass_miscommunication;pass_technique;pass_through_ball;block_deflection;ball_recovery_offensive;foul_committed_penalty;foul_won_penalty;shot_open_goal;shot_redirect;bad_behaviour_card;block_save_block;shot_deflected;miscontrol_aerial_won;clearance_body_part;clearance_head;clearance_left_foot;clearance_right_foot;goalkeeper_punched_out;off_camera;out;pass_inswinging;pass_outswinging;pass_straight;goalkeeper_shot_saved_to_post;pass_no_touch;shot_saved_to_post;goalkeeper_success_in_play;clearance_other;player_off_permanent;goalkeeper_shot_saved_off_target;shot_saved_off_target;shot_follows_dribble;dribble_no_touch;goalkeeper_lost_out;half_start_late_video_start;goalkeeper_lost_in_play;goalkeeper_penalty_saved_to_post;goalkeeper_saved_to_post;goalkeeper_success_out
;;;;;;;;;;;1.564903;;;;;;;;;;;ed845f12-5ed4-40e7-b296-a2e55d7482d7;14;;[37.3, 63.0];22912;0;;-0.29386935;;;Left Foot;;;;[44.9, 60.7];;High Pass;7.940403;Incomplete;Harry Winks;3082.0;;;Recovery;1;From Kick Off;Moussa Sissoko;3091.0;Right Defensive Midfield;2;Liverpool;24;['70ba5469-65c6-457b-aeee-280a2d2a79c1', '7d2c9d00-6155-4833-b6eb-95ac0301a835', '9babcee7-0db0-4cf5-bbd3-b6ca2c0ff6e2'];8;;;;;;;;;;;;;;;;;Tottenham Hotspur;38;2025-02-02T00:00:08.854+01:00;Pass;;Europe - Champions League;2018/2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;0.687803;;;;;;;;;;;70ba5469-65c6-457b-aeee-280a2d2a79c1;17;;[75.2, 19.4];22912;0;true;0.08018485;;;;;;;[86.4, 20.3];;High Pass;11.236102;Incomplete;Sadio Mané;3629.0;;;Recovery;1;From Kick Off;Jordan Brian Henderson;3532.0;Right Center Midfield;2;Liverpool;24;['1691bc21-e242-4baf-8561-955ae0cd787a', '66785f3c-c999-4474-8f7f-5d09b11e64e1', '8887961c-cda3-4c79-b28d-7e3c8ea250dc', 'ed845f12-5ed4-40e7-b296-a2e55d7482d7'];10;;;;;;;;;;;;;;;;;Liverpool;24;2025-02-02T00:00:10.419+01:00;Pass;true;Europe - Champions League;2018/2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;3.797797;;;;;;;;;;;66785f3c-c999-4474-8f7f-5d09b11e64e1;19;;[33.7, 59.8];22912;0;;0.026016433;;;Head;;;;[60.6, 60.5];;High Pass;26.909107;Incomplete;Harry Kane;10955.0;;;Recovery;1;From Kick Off;Toby Alderweireld;20005.0;Right Center Back;2;Liverpool;24;['3b52ec7a-0b60-480a-8673-475fce779342', '5dd70c63-4030-47d1-8a09-fae25c18ad4d', '70ba5469-65c6-457b-aeee-280a2d2a79c1'];11;;;;;;;;;;;;;;;;;Tottenham Hotspur;38;2025-02-02T00:00:11.107+01:00;Pass;;Europe - Champions League;2018/2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;1.067295;;;;;;;;;;;3b52ec7a-0b60-480a-8673-475fce779342;21;;[59.5, 19.6];22912;0;;-0.067693025;;;Head;;;;[65.4, 19.2];;Low Pass;5.9135437;;Georginio Wijnaldum;3567.0;;;Recovery;1;From Kick Off;Virgil van Dijk;3669.0;Left Center Back;2;Liverpool;24;['66785f3c-c999-4474-8f7f-5d09b11e64e1', 'bdead4f4-7821-4837-9edc-424a8c433a65'];14;;;;;;;;;;;;;;;;;Liverpool;24;2025-02-02T00:00:14.904+01:00;Pass;;Europe - Champions League;2018/2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;0.733968;;;;;;;;;;;0be6b52c-a97a-40fd-aa49-ec977ed51727;25;;[64.7, 18.4];22912;0;;1.5337762;;;Right Foot;;;;[64.9, 23.8];;Low Pass;5.4037023;;Jordan Brian Henderson;3532.0;;;;1;From Kick Off;Georginio Wijnaldum;3567.0;Left Center Midfield;2;Liverpool;24;['bc978401-3bdf-4d44-ac03-a0081664fd4e', 'df4587a3-40a4-4b68-9a72-e48761ac6a4a'];16;;;;;;;;;;;;;;;;;Liverpool;24;2025-02-02T00:00:16.045+01:00;Pass;true;Europe - Champions League;2018/2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;2.502852;;;;;;;;;;;58da02c1-4fc2-45ee-a8ae-7b40bdb01238;28;;[64.3, 24.3];22912;0;;0.0057305964;;;Right Foot;;;;[99.2, 24.5];;High Pass;34.900574;;Sadio Mané;3629.0;;;;1;From Kick Off;Jordan Brian Henderson;3532.0;Right Center Midfield;2;Liverpool;24;['0db11b7a-2581-4f5e-a2d4-53b1c10a72b3'];17;;;;;;;;;;;;;;;;;Liverpool;24;2025-02-02T00:00:17.057+01:00;Pass;;Europe - Champions League;2018/2019;;;;;;Through Ball;true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;0.315409;;;;;;;;;;;954c4fd1-a071-4016-a44e-00b5441730d0;31;;[106.1, 23.4];22912;0;;2.1353657;;;Right Foot;;;;[104.2, 26.4];;High Pass;3.5510561;Unknown;Jordan Brian Henderson;3532.0;;;;1;From Kick Off;Sadio Mané;3629.0;Left Wing;2;Liverpool;24;['108eb77f-7c6a-4a5d-997c-8a8ec1ef9672'];22;;;;;;;;;;;;;;;;;Liverpool;24;2025-02-02T00:00:22.597+01:00;Pass;;Europe - Champions League;2018/2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;1.286632;;;;;;;;;;;b86d0c15-cee3-496d-9544-b49eba5819c0;36;;[60.0, 40.0];22912;2;;3.1235223;;;Right Foot;;;;[43.4, 40.3];;Ground Pass;16.60271;;Bamidele Alli;3094.0;;;Kick Off;1;From Kick Off;Harry Kane;10955.0;Center Forward;4;Tottenham Hotspur;38;['1420cb69-dc92-41ea-9b3e-0121d6e16cb9'];42;;;;;;;;;;;;;;;;;Tottenham Hotspur;38;2025-02-02T00:02:42.854+01:00;Pass;;Europe - Champions League;2018/2019;;;;;;;;;;;;;;;;;;;;;;;true;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;2.018659;;;;;;;;;;;5a153bbb-1e1e-4949-80d8-782d08b21bd6;38;;[42.8, 40.3];22912;2;;0.28391525;;;Right Foot;;;;[106.2, 58.8];;High Pass;66.044;Incomplete;;;;;;1;From Kick Off;Bamidele Alli;3094.0;Center Attacking Midfield;4;Tottenham Hotspur;38;['4ade8d61-2e78-4f07-be68-08416d0be74e'];45;;;;;;;;;;;;;;;;;Tottenham Hotspur;38;2025-02-02T00:02:45.133+01:00;Pass;;Europe - Champions League;2018/2019;;;;;;;;;;;;;;;;;;;;;;;true;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;0.66697;;;;;;;;;;;997097db-1269-4564-9d90-1ab1f3df50b4;43;;[99.3, 75.8];22912;2;;-0.49488744;;;Right Foot;;;;[105.6, 72.4];;Ground Pass;7.1589108;Incomplete;Harry Kane;10955.0;;;;1;From Kick Off;Christian Dannemann Eriksen;3043.0;Right Wing;4;Tottenham Hotspur;38;['13903a9e-c717-4aa2-b8ab-b13b36f6c3bc', '883a45ed-3525-445d-b167-304e3db4467d'];49;;;;;;;;;;;;;;;;;Tottenham Hotspur;38;2025-02-02T00:02:49.777+01:00;Pass;;Europe - Champions League;2018/2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
